#
# Emotions.csv for "Dark Tower: All Hail" LARP.
#
# Emotions (eID<->eName) global map.
#
# Generated by EmotionProcessor.py
#
# !!! DO NOT EDIT !!!
#
# Generated at 2018-02-16 23:18:39
#
eID,eName,eType,ePriority,isPlayer
0,BEAM,1,5,0
1,BEAM_CLOSE,0,5,0
2,BLESS,1,5,1
3,CORRUPT,0,0,0
4,CRIMSON,0,0,0
5,CRIMSONISH,0,0,0
6,CRIMSON_BROADCAST1,0,6,0
7,CRIMSON_BROADCAST2,0,6,0
8,CRIMSON_BROADCAST3,0,6,0
9,CRIMSON_GRIEVE,0,9,0
10,CRIMSON_KING_SONG,1,2,0
11,CRIMSON_LAUGH,0,9,0
12,CRIMSON_PLACE,1,10,0
13,CRIMSON_SERVANT,1,3,0
14,CRIMSON_SERVANT_FEELING,0,9,0
15,DEATH,0,280,0
16,DESTROY_KATET,0,1,0
17,DOOR,0,1,1
18,DOOR_FAR,0,3,0
19,DOOR_NEAR,0,3,0
20,EAGLE,1,4,0
21,FATE_VOICE,0,1,0
22,FEAR,1,4,1
23,GERRARO,1,11,0
24,GUNSLINGER_FEELING,0,9,0
25,HEART,1,0,0
26,INN,1,11,0
27,LION,1,4,0
28,MANNI,1,11,0
29,MASTERKA,0,240,0
30,MORANO,1,11,0
31,NEUTRAL,0,0,0
32,ROSE,1,2,0
33,SQUARE,1,11,0
34,THINNY,1,5,0
35,TIMELINE_GATHERING,0,9,0
36,TIMELINE_TRAIN,0,9,0
37,TIMELINE_TRAIN_ARRIVING,0,9,0
38,TISHINA,0,100,0
39,TOWNHOUSE,1,11,0
40,WHITE,0,0,0
41,WHITE_GLORY,1,2,0
42,WHITE_JOY,0,9,0
43,WHITE_SORROW,0,9,0
44,WHITISH,0,0,0
